Build No.,CPU,Motherboard,RAM,GPU,PSU
171,AMD Ryzen 7 7700X,B650E-I,64 GB (2 x 32 GB) DDR5-5600,RTX 4070,750 W
172,AMD Ryzen 7 7700X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
173,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,1000 W
174,Intel Core i7-13700KF,Z790-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,750 W
175,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
176,Intel Core i5-13600KF,Z790-A,64 GB (2 x 32 GB) DDR5-6000,RTX 4070,1000 W
177,Intel Core i5-13600KF,B760I,32 GB (2 x 16 GB) DDR5-5200,RTX 4070 Ti,1000 W
178,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
179,Intel Core i5-13600KF,Z690,32 GB (2 x 16 GB) DDR5-4800,RTX 4070,850 W
180,AMD Ryzen 9 7900X,B650E,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,750 W
181,AMD Ryzen 5 5600X,B550,32 GB (2 x 16 GB) DDR4-4000,RTX 4070,750 W
182,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
183,AMD Ryzen 7 7700X,B650I,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
184,AMD Ryzen 7 7700X,B650-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
185,Intel Core i5-13600KF,Z690,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,650 W
186,AMD Ryzen 9 7950X,B650,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
187,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
188,Intel Core i5-13400F,B760M,16 GB (2 x 8 GB) DDR5-6000,RTX 4070,700 W
189,Intel Core i5-13400F,B760M,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,750 W
190,AMD Ryzen 5 5600X,B550M,32 GB (2 x 16 GB) DDR4-3600,RTX 4060,650 W
191,Intel Core i7-13700KF,Z790,16 GB (2 x 8 GB) DDR4-3600,RTX 4080,1000 W
192,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
193,Intel Core i5-13600KF,B760M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
194,Intel Core i7-13700F,B760M,32 GB (2 x 16 GB) DDR5-6200,RTX 4090,1000 W
195,AMD Ryzen 9 7900X,B650-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
196,AMD Ryzen 9 7950X,X670E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1300 W
197,Intel Core i5-13400F,B760-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,850 W
198,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6200,RTX 4070,850 W
199,Intel Core i5-13400F,Z790,32 GB (2 x 16 GB) DDR5-5200,RTX 4060,750 W
200,Intel Core i5-13600KF,B760M,32 GB (2 x 16 GB) DDR5-5600,RTX 4060,750 W
201,AMD Ryzen 7 7700X,B650M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
202,AMD Ryzen 7 7700X,B650-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
203,Intel Core i7-13700KF,Z790-P,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1050 W
204,AMD Ryzen 9 7900X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
205,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1600 W
206,AMD Ryzen 5 5600X,B550,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,500 W
